,survey_id,age_type,survey_type,wave,problem_id
0,1,big,parent,3,1
1,1,big,parent,3,2
2,1,big,parent,3,3
3,1,big,parent,3,4
4,1,big,parent,3,5
5,1,big,parent,3,6
6,1,big,parent,3,7
7,1,big,parent,3,8
8,1,big,parent,3,9
9,1,big,parent,3,10
10,1,big,parent,3,11
11,1,big,parent,3,12
12,1,big,parent,3,13
13,1,big,parent,3,14
14,1,big,parent,3,15
15,1,big,parent,3,16
16,1,big,parent,3,17
17,1,big,parent,3,18
18,1,big,parent,3,19
19,1,big,parent,3,20
20,1,big,parent,3,21
21,1,big,parent,3,22
22,1,big,parent,3,23
23,1,big,parent,3,24
24,1,big,parent,3,25
25,1,big,parent,3,26
26,1,big,parent,3,27
27,1,big,parent,3,28
28,1,big,parent,3,29
29,1,big,parent,3,30
30,1,big,parent,3,31
31,1,big,parent,3,32
32,1,big,parent,3,33
33,1,big,parent,3,34
34,1,big,parent,3,35
35,1,big,parent,3,36
36,1,big,parent,3,37
37,1,big,parent,3,38
38,1,big,parent,3,39
39,1,big,parent,3,40
40,1,big,parent,3,41
41,1,big,parent,3,42
42,1,big,parent,3,43
43,1,big,parent,3,44
44,1,big,parent,3,45
45,1,big,parent,3,46
46,1,big,parent,3,47
47,1,big,parent,3,48
48,1,big,parent,3,49
49,1,big,parent,3,50
50,1,big,parent,3,51
51,1,big,parent,3,52
52,1,big,parent,3,53
53,1,big,parent,3,54
54,1,big,parent,3,55
55,1,big,parent,3,56
56,1,big,parent,3,57
57,1,big,parent,3,58
58,1,big,parent,3,59
59,1,big,parent,3,60
60,1,big,parent,3,61
61,1,big,parent,3,62
62,1,big,parent,3,63
63,1,big,parent,3,64
64,1,big,parent,3,65
65,1,big,parent,3,66
66,1,big,parent,3,67
67,1,big,parent,3,68
68,1,big,parent,3,69
69,1,big,parent,3,70
70,1,big,parent,3,71
71,1,big,parent,3,72
72,1,big,parent,3,73
73,1,big,parent,3,74
74,1,big,parent,3,75
75,1,big,parent,3,76
76,1,big,parent,3,77
77,1,big,parent,3,78
78,1,big,parent,3,79
79,1,big,parent,3,80
80,1,big,parent,3,81
81,1,big,parent,3,82
82,1,big,parent,3,83
83,1,big,parent,3,84
84,1,big,parent,3,85
85,1,big,parent,3,86
86,1,big,parent,3,87
87,1,big,parent,3,88
88,1,big,parent,3,89
89,1,big,parent,3,90
90,1,big,parent,3,91
91,1,big,parent,3,92
92,1,big,parent,3,93
93,1,big,parent,3,94
94,1,big,parent,3,95
95,1,big,parent,3,96
96,1,big,parent,3,97
97,1,big,parent,3,98
98,1,big,parent,3,99
99,1,big,parent,3,100
100,1,big,parent,3,101
101,1,big,parent,3,102
102,1,big,parent,3,103
103,1,big,parent,3,104
104,1,big,parent,3,105
105,1,big,parent,3,106
106,1,big,parent,3,107
107,1,big,parent,3,108
108,1,big,parent,3,109
109,1,big,parent,3,110
110,1,big,parent,3,111
111,1,big,parent,3,112
112,1,big,parent,3,113
113,1,big,parent,3,114
114,1,big,parent,3,115
115,1,big,parent,3,116
116,1,big,parent,3,117
117,1,big,parent,3,118
118,1,big,parent,3,119
119,1,big,parent,3,120
120,1,big,parent,3,121
121,1,big,parent,3,122
122,1,big,parent,3,123
123,1,big,parent,3,124
124,1,big,parent,3,125
125,1,big,parent,3,126
126,1,big,parent,3,127
127,2,big,parent,6,1
128,2,big,parent,6,2
129,2,big,parent,6,3
130,2,big,parent,6,4
131,2,big,parent,6,5
132,2,big,parent,6,6
133,2,big,parent,6,7
134,2,big,parent,6,8
135,2,big,parent,6,9
136,2,big,parent,6,10
137,2,big,parent,6,11
138,2,big,parent,6,12
139,2,big,parent,6,13
140,2,big,parent,6,14
141,2,big,parent,6,15
142,2,big,parent,6,16
143,2,big,parent,6,17
144,2,big,parent,6,18
145,2,big,parent,6,19
146,2,big,parent,6,20
147,2,big,parent,6,21
148,2,big,parent,6,22
149,2,big,parent,6,23
150,2,big,parent,6,24
151,2,big,parent,6,25
152,2,big,parent,6,26
153,2,big,parent,6,27
154,2,big,parent,6,28
155,2,big,parent,6,29
156,2,big,parent,6,30
157,2,big,parent,6,31
158,2,big,parent,6,32
159,2,big,parent,6,33
160,2,big,parent,6,34
161,2,big,parent,6,35
162,2,big,parent,6,36
163,2,big,parent,6,37
164,2,big,parent,6,38
165,2,big,parent,6,39
166,2,big,parent,6,40
167,2,big,parent,6,41
168,2,big,parent,6,42
169,2,big,parent,6,43
170,2,big,parent,6,44
171,2,big,parent,6,45
172,2,big,parent,6,46
173,2,big,parent,6,47
174,2,big,parent,6,48
175,2,big,parent,6,49
176,2,big,parent,6,50
177,2,big,parent,6,51
178,2,big,parent,6,52
179,2,big,parent,6,53
180,2,big,parent,6,54
181,2,big,parent,6,55
182,2,big,parent,6,56
183,2,big,parent,6,57
184,2,big,parent,6,58
185,2,big,parent,6,59
186,2,big,parent,6,60
187,2,big,parent,6,61
188,2,big,parent,6,62
189,2,big,parent,6,63
190,2,big,parent,6,64
191,2,big,parent,6,65
192,2,big,parent,6,66
193,2,big,parent,6,67
194,2,big,parent,6,68
195,2,big,parent,6,69
196,2,big,parent,6,70
197,2,big,parent,6,71
198,2,big,parent,6,72
199,2,big,parent,6,73
200,2,big,parent,6,74
201,2,big,parent,6,75
202,2,big,parent,6,76
203,2,big,parent,6,77
204,2,big,parent,6,78
205,2,big,parent,6,79
206,2,big,parent,6,80
207,2,big,parent,6,81
208,2,big,parent,6,82
209,2,big,parent,6,83
210,2,big,parent,6,84
211,2,big,parent,6,85
212,2,big,parent,6,86
213,2,big,parent,6,87
214,2,big,parent,6,88
215,2,big,parent,6,89
216,2,big,parent,6,90
217,2,big,parent,6,91
218,2,big,parent,6,92
219,2,big,parent,6,93
220,2,big,parent,6,94
221,2,big,parent,6,95
222,2,big,parent,6,96
223,2,big,parent,6,97
224,2,big,parent,6,98
225,2,big,parent,6,99
226,2,big,parent,6,100
227,2,big,parent,6,101
228,2,big,parent,6,102
229,2,big,parent,6,103
230,2,big,parent,6,104
231,2,big,parent,6,105
232,2,big,parent,6,106
233,2,big,parent,6,107
234,2,big,parent,6,108
235,2,big,parent,6,109
236,2,big,parent,6,110
237,2,big,parent,6,111
238,2,big,parent,6,112
239,2,big,parent,6,113
240,2,big,parent,6,114
241,2,big,parent,6,115
242,2,big,parent,6,116
243,2,big,parent,6,117
244,2,big,parent,6,118
245,2,big,parent,6,119
246,2,big,parent,6,120
247,2,big,parent,6,121
248,2,big,parent,6,122
249,2,big,parent,6,123
250,2,big,parent,6,124
251,2,big,parent,6,125
252,2,big,parent,6,126
253,2,big,parent,6,127
